algorithm,benchmark,seed,evaluations,best_value
hill_climbing,rosenbrock,0,100,2228.293627147556
hill_climbing,rosenbrock,0,200,2228.293627147556
hill_climbing,rosenbrock,0,300,803.9245238685222
hill_climbing,rosenbrock,0,400,803.9245238685222
hill_climbing,rosenbrock,0,500,491.95656855045223
hill_climbing,rosenbrock,0,600,491.95656855045223
hill_climbing,rosenbrock,0,700,173.695386800775
hill_climbing,rosenbrock,0,800,173.695386800775
hill_climbing,rosenbrock,0,900,173.695386800775
hill_climbing,rosenbrock,0,1000,173.695386800775
hill_climbing,rosenbrock,0,1100,173.695386800775
hill_climbing,rosenbrock,0,1200,173.695386800775
hill_climbing,rosenbrock,0,1300,173.695386800775
hill_climbing,rosenbrock,0,1400,94.93761938109033
hill_climbing,rosenbrock,0,1500,94.93761938109033
hill_climbing,rosenbrock,0,1600,94.93761938109033
hill_climbing,rosenbrock,0,1700,94.93761938109033
hill_climbing,rosenbrock,0,1800,94.93761938109033
hill_climbing,rosenbrock,0,1900,94.93761938109033
hill_climbing,rosenbrock,0,2000,94.93761938109033
hill_climbing,rosenbrock,0,2100,94.93761938109033
hill_climbing,rosenbrock,0,2200,94.93761938109033
hill_climbing,rosenbrock,0,2300,94.93761938109033
hill_climbing,rosenbrock,0,2400,94.93761938109033
hill_climbing,rosenbrock,0,2500,94.93761938109033
hill_climbing,rosenbrock,0,2600,94.93761938109033
hill_climbing,rosenbrock,0,2700,94.93761938109033
hill_climbing,rosenbrock,0,2800,94.93761938109033
hill_climbing,rosenbrock,0,2900,94.93761938109033
hill_climbing,rosenbrock,0,3000,94.93761938109033
hill_climbing,rosenbrock,0,3100,94.93761938109033
hill_climbing,rosenbrock,0,3200,94.93761938109033
hill_climbing,rosenbrock,0,3300,94.93761938109033
hill_climbing,rosenbrock,0,3400,94.93761938109033
hill_climbing,rosenbrock,0,3500,94.93761938109033
hill_climbing,rosenbrock,0,3600,94.93761938109033
hill_climbing,rosenbrock,0,3700,94.93761938109033
hill_climbing,rosenbrock,0,3800,94.93761938109033
hill_climbing,rosenbrock,0,3900,94.93761938109033
hill_climbing,rosenbrock,0,4000,94.93761938109033
hill_climbing,rosenbrock,0,4100,94.93761938109033
hill_climbing,rosenbrock,0,4200,94.93761938109033
hill_climbing,rosenbrock,0,4300,94.93761938109033
hill_climbing,rosenbrock,0,4400,94.93761938109033
hill_climbing,rosenbrock,0,4500,94.93761938109033
hill_climbing,rosenbrock,0,4600,94.93761938109033
hill_climbing,rosenbrock,0,4700,94.93761938109033
hill_climbing,rosenbrock,0,4800,94.93761938109033
hill_climbing,rosenbrock,0,4900,94.93761938109033
hill_climbing,rosenbrock,0,5000,94.93761938109033
hill_climbing,rosenbrock,0,5100,94.93761938109033
hill_climbing,rosenbrock,0,5200,94.93761938109033
hill_climbing,rosenbrock,0,5300,94.93761938109033
hill_climbing,rosenbrock,0,5400,94.93761938109033
hill_climbing,rosenbrock,0,5500,94.93761938109033
hill_climbing,rosenbrock,0,5600,94.93761938109033
hill_climbing,rosenbrock,0,5700,94.93761938109033
hill_climbing,rosenbrock,0,5800,94.93761938109033
hill_climbing,rosenbrock,0,5900,94.93761938109033
hill_climbing,rosenbrock,0,6000,94.93761938109033
hill_climbing,rosenbrock,0,6100,94.93761938109033
hill_climbing,rosenbrock,0,6200,94.93761938109033
hill_climbing,rosenbrock,0,6300,94.93761938109033
hill_climbing,rosenbrock,0,6400,94.93761938109033
hill_climbing,rosenbrock,0,6500,94.93761938109033
hill_climbing,rosenbrock,0,6600,94.93761938109033
hill_climbing,rosenbrock,0,6700,94.93761938109033
hill_climbing,rosenbrock,0,6800,94.93761938109033
hill_climbing,rosenbrock,0,6900,94.93761938109033
hill_climbing,rosenbrock,0,7000,94.93761938109033
hill_climbing,rosenbrock,0,7100,94.93761938109033
hill_climbing,rosenbrock,0,7200,94.93761938109033
hill_climbing,rosenbrock,0,7300,58.874037835975535
hill_climbing,rosenbrock,0,7400,58.874037835975535
hill_climbing,rosenbrock,0,7500,58.874037835975535
hill_climbing,rosenbrock,0,7600,58.874037835975535
hill_climbing,rosenbrock,0,7700,58.874037835975535
hill_climbing,rosenbrock,0,7800,58.874037835975535
hill_climbing,rosenbrock,0,7900,58.874037835975535
hill_climbing,rosenbrock,0,8000,58.874037835975535
hill_climbing,rosenbrock,0,8100,58.874037835975535
hill_climbing,rosenbrock,0,8200,58.874037835975535
hill_climbing,rosenbrock,0,8300,58.874037835975535
hill_climbing,rosenbrock,0,8400,58.874037835975535
hill_climbing,rosenbrock,0,8500,58.874037835975535
hill_climbing,rosenbrock,0,8600,58.874037835975535
hill_climbing,rosenbrock,0,8700,58.874037835975535
hill_climbing,rosenbrock,0,8800,58.874037835975535
hill_climbing,rosenbrock,0,8900,58.874037835975535
hill_climbing,rosenbrock,0,9000,58.874037835975535
hill_climbing,rosenbrock,0,9100,58.874037835975535
